0,1,2,3,4
4698245,0.4451266157181636,5,2020-08-08,False
4698244,0.0,5,2020-08-08,False
4698243,0.0002776039418345507,5,2020-08-09,False
4698237,1.0270977684244267,5,2020-08-09,False
4698240,0.001967140236716284,5,2020-08-09,False
4698242,0.0,5,2020-08-09,False
4698254,0.008928007978074184,5,2020-08-12,True
4698251,0.0005681211657902317,5,2020-08-12,True
4698250,0.000444990025842079,5,2020-08-12,True
4698256,1.0428951722304027,5,2020-08-12,True
4698253,0.0004376694488919604,5,2020-08-12,True
4698255,0.13917545659482128,5,2020-08-13,False
4698247,0.6083728731704316,5,2020-08-13,False
4698249,0.0,5,2020-08-13,False
4698252,0.0,3,2020-08-13,False
4698248,0.23589376727393419,5,2020-08-13,False
4698262,0.4928574332803739,5,2020-08-15,False
4698264,0.43594345973085774,5,2020-08-15,False
4698259,0.0,5,2020-08-16,True
4698261,0.0,5,2020-08-16,True
4698263,0.13794414567921595,5,2020-08-16,True
4698258,0.4208198166169258,5,2020-08-16,True
4698257,0.13434718745914298,5,2020-08-16,True
4698266,0.0,5,2020-08-16,True
4698265,0.5534770989024416,5,2020-08-16,True
4698260,0.0,5,2020-08-16,True
4698267,0.0,5,2020-08-19,False
4698270,0.11872968212942421,5,2020-08-19,False
4698274,0.5061338467516824,5,2020-08-19,False
4698276,0.14205398923727744,5,2020-08-19,False
4698272,0.11862690403214496,5,2020-08-19,False
4698268,,5,2020-08-20,True
4698271,,5,2020-08-20,True
4698273,,5,2020-08-20,True
4698275,,5,2020-08-20,True
4698269,,5,2020-08-20,True
4698284,0.8733923905693952,5,2020-08-22,False
4698282,0.0,5,2020-08-22,False
4698286,0.0,5,2020-08-23,True
4698277,0.01589483444179302,5,2020-08-23,True
4698279,0.07405593659453799,5,2020-08-23,True
4698280,0.17775062726289978,5,2020-08-23,True
4698278,0.6810119144891448,5,2020-08-23,True
4698283,0.0,5,2020-08-23,True
4698285,0.0,5,2020-08-23,True
4698288,0.0,5,2020-08-29,False
4698293,0.43515559517857316,5,2020-08-29,False
4698287,0.9620938392193772,5,2020-08-29,False
4698295,0.18829966604193382,5,2020-08-30,False
4698289,0.0,5,2020-08-30,False
4698294,0.0,5,2020-08-30,False
4698290,0.0,5,2020-08-30,False
4698296,0.0,5,2020-08-30,False
4698305,0.0,5,2020-09-02,True
4698297,0.43961978372113564,5,2020-09-02,True
4698306,0.3016277274829327,5,2020-09-02,True
4698304,0.0,5,2020-09-02,True
4698303,0.31732445581566526,5,2020-09-02,True
4698298,0.0,5,2020-09-02,True
4698299,0.9895625656457101,5,2020-09-03,False
4698300,0.00473270341091665,5,2020-09-03,False
4698302,0.01354300391536773,5,2020-09-03,False
4698301,0.0,5,2020-09-03,False
4698307,0.3694061493893456,5,2020-09-05,False
4698311,0.7881967263919699,5,2020-09-05,False
4698315,0.0,5,2020-09-06,True
4698310,0.07701314469745432,5,2020-09-06,True
4698312,0.10487837705326798,5,2020-09-06,True
4698309,0.1024262392130705,5,2020-09-06,True
4698308,0.0,5,2020-09-06,True
4698316,0.08068452218926343,5,2020-09-06,True
4698314,0.36328566814463087,5,2020-09-06,True
4698313,0.07130415928810693,5,2020-09-06,True
4698324,0.18916230641403836,5,2020-09-09,False
4698325,0.0,5,2020-09-09,False
4698326,0.42759470517947473,5,2020-09-09,False
4698319,0.46193504630292287,5,2020-09-09,False
4698317,0.3229134742950338,5,2020-09-10,False
4698320,0.4858569937123335,5,2020-09-10,False
4698323,0.30635202444416354,5,2020-09-10,False
4698321,0.2326085402783349,5,2020-09-10,False
4698322,0.0,5,2020-09-10,False
4698334,0.0014012717568094148,5,2020-09-12,False
4698330,1.5725375598215072,5,2020-09-12,False
4698327,,5,2020-09-13,True
4698332,,5,2020-09-13,True
4698331,,5,2020-09-13,True
4698333,,5,2020-09-13,True
4698335,,5,2020-09-13,True
4698336,,5,2020-09-13,True
4698329,,5,2020-09-13,True
4698328,,5,2020-09-13,True
4698345,0.7930973396194786,5,2020-09-19,False
4698340,0.3767426884602226,5,2020-09-19,False
4698346,0.2462298713303386,5,2020-09-20,False
4698344,0.202344455572278,5,2020-09-20,False
4698342,0.29563371280747075,5,2020-09-20,False
4698338,1.116786921871721,5,2020-09-20,False
4698343,0.1825722350712639,5,2020-09-20,False
4698354,1.115725556232537,5,2020-09-26,False
4698352,0.0,5,2020-09-26,False
4698351,0.0,5,2020-09-27,False
4698348,0.0,5,2020-09-27,False
4698349,0.9862225215924214,5,2020-09-27,False
4698356,0.0,5,2020-09-27,False
4698355,0.006234848742747424,5,2020-09-27,False
4698350,0.0,5,2020-09-27,False
4786982,0.8598528426502798,5,2020-10-01,False
4786983,0.5088345428179771,5,2020-10-01,False
4698362,1.380306007576681,5,2020-10-03,False
4698359,0.3839320210948717,5,2020-10-03,False
4698360,0.21237340976160704,5,2020-10-04,True
4698358,0.1361599809390313,5,2020-10-04,True
4698364,0.05576433743332381,5,2020-10-04,True
4698357,0.05947022832738949,5,2020-10-04,True
4698363,0.0,5,2020-10-04,True
4698365,0.12176746043819223,5,2020-10-04,True
4698366,0.1278870375051096,5,2020-10-04,True
4698361,0.3583649681846429,5,2020-10-04,True
4698371,0.0,5,2020-10-07,True
4698373,0.0,5,2020-10-07,True
4698367,0.33755052919874245,5,2020-10-07,True
4698372,0.21990218865619346,5,2020-10-07,True
4698376,0.24222509355390193,5,2020-10-07,True
4698369,0.0,5,2020-10-07,True
4698368,0.40552331132250635,5,2020-10-08,False
4698375,1.003535682345639,5,2020-10-08,False
4698374,0.0,5,2020-10-08,False
4698378,0.0,5,2020-10-10,False
4698384,3.0093624241320422,5,2020-10-10,False
4698379,0.0,5,2020-10-10,False
4698381,0.7081275550766054,5,2020-10-11,True
4698377,0.048973513233510346,5,2020-10-11,True
4698380,0.24157710477895888,5,2020-10-11,True
4698386,0.03579188309934797,5,2020-10-11,True
4698383,0.0,5,2020-10-11,True
4698385,0.0,5,2020-10-11,True
4698382,0.034067690955397384,5,2020-10-11,True
4698389,0.8205579506217133,5,2020-10-14,False
4893905,0.8834100214978357,5,2020-10-14,False
4698390,0.0,5,2020-10-14,False
4698394,0.0,5,2020-10-15,False
4698391,0.1486731031037811,5,2020-10-15,False
4698393,0.17083429976307385,5,2020-10-15,False
4698387,0.6950068898640437,5,2020-10-15,False
4396073,0.0,5,2020-10-17,False
4396071,0.0,5,2020-10-17,False
4396064,1.0321260990602945,5,2020-10-17,False
4396066,0.3532796001429096,5,2020-10-18,False
4396068,0.36370318559362935,5,2020-10-18,False
4396069,0.0,5,2020-10-18,False
4396072,0.0,5,2020-10-18,False
4396067,0.0,5,2020-10-18,False
4396070,0.6502642013800424,5,2020-10-19,False
4396065,1.2187104300632068,5,2020-10-19,False
4396077,0.0,5,2020-10-24,False
4396082,0.0,5,2020-10-24,False
4396078,0.7824174740146345,5,2020-10-25,False
4396083,0.02764332798068775,5,2020-10-25,False
4396074,0.07071702553011393,5,2020-10-25,False
4396081,0.03272615703722422,5,2020-10-25,False
4396079,0.0013327701086056978,5,2020-10-25,False
4396085,1.000387433893621,5,2020-10-31,False
4396088,0.0,5,2020-10-31,False
4396091,0.0,4,2020-10-31,False
4396092,0.0,5,2020-11-01,True
4396084,0.0013453258698773124,5,2020-11-01,True
4396090,0.0,5,2020-11-01,True
4396087,0.0002915865727955535,5,2020-11-01,True
4396093,1.0355305374183674,5,2020-11-01,True
4396086,0.45393099623673006,5,2020-11-02,False
4396089,0.0,5,2020-11-02,False
4396101,0.04977506914041755,5,2020-11-07,False
4396096,1.1743079440667241,5,2020-11-07,False
4396103,0.0,5,2020-11-08,True
4396099,0.5888564844553201,5,2020-11-08,True
4396095,0.0,5,2020-11-08,True
4396098,0.0,5,2020-11-08,True
4396100,0.0,5,2020-11-08,True
4396097,0.0,5,2020-11-08,True
4396102,0.0,5,2020-11-08,True
4396094,0.0,5,2020-11-08,True
4396107,,5,2020-11-14,True
4396110,,5,2020-11-14,True
4396113,,5,2020-11-14,True
4396108,,5,2020-11-14,True
4396112,,5,2020-11-14,True
4396109,,5,2020-11-14,True
4396104,,5,2020-11-15,False
4396106,,5,2020-11-15,False
4396111,0.44962585373386055,5,2020-11-16,False
4396105,1.024590038369769,5,2020-11-16,False
4396121,0.0,5,2020-11-21,False
4396114,0.0,5,2020-11-21,False
4396123,0.26102205392239763,5,2020-11-22,True
4396122,0.12954127924456196,5,2020-11-22,True
4396116,0.21424406561539322,5,2020-11-22,True
4396115,0.0,5,2020-11-22,True
4396119,0.26821485576298143,5,2020-11-22,True
4396118,0.0,5,2020-11-22,True
4396128,0.0,5,2020-11-26,False
4396131,0.0,5,2020-11-26,False
4396132,0.2923543434083347,5,2020-11-26,False
4396126,0.0,5,2020-11-28,False
4396127,0.3955706333308527,5,2020-11-28,False
4396130,0.44892336732531524,5,2020-11-28,False
4943789,0.05007847435811589,5,2020-11-30,False
4396125,0.009279601204600526,5,2020-11-30,False
4396124,0.9721398643157382,5,2020-11-30,False
4396142,0.0,5,2020-12-03,False
4943793,0.0,5,2020-12-03,False
4396135,0.3218833092918046,5,2020-12-05,False
4396137,0.7753572093424129,5,2020-12-05,False
4396140,0.0,5,2020-12-05,False
4396134,0.18903205215090002,5,2020-12-05,False
4396141,0.0,5,2020-12-06,False
4396139,0.37428424128547944,5,2020-12-06,False
4396136,0.0,5,2020-12-06,False
4396138,1.0266646258168541,5,2020-12-06,False
4396151,0.7919229316021916,5,2020-12-12,False
4396147,0.2845669611331318,5,2020-12-12,False
4396149,0.0,5,2020-12-12,False
4396146,0.0,5,2020-12-12,False
4396152,0.00015766236168848326,5,2020-12-13,True
4396153,0.0,5,2020-12-13,True
4396144,0.0011779787382021046,5,2020-12-13,True
4396148,0.013140467804229953,5,2020-12-13,True
4396150,0.9969214739992197,5,2020-12-13,True
4396145,0.000275040430931161,5,2020-12-13,True
4396163,0.9057706177982483,5,2020-12-17,False
4396156,0.5512151945214399,5,2020-12-17,False
4396161,5.123673936285474e-29,5,2020-12-20,True
4396159,0.8005792478909441,5,2020-12-20,True
4396157,0.0,5,2020-12-20,True
4396155,0.0,5,2020-12-20,True
4396154,0.2805781446363084,5,2020-12-20,True
4396162,0.8294225886554147,5,2020-12-20,True
4396168,0.32223584277876616,5,2020-12-26,False
4396172,0.0,5,2020-12-26,False
4396173,0.3140078155873106,5,2020-12-26,False
4396164,0.1801462913206203,5,2020-12-27,True
4396170,0.06800779576733841,5,2020-12-27,True
4396165,0.15550320621404545,5,2020-12-27,True
4396171,0.11851467104541427,5,2020-12-27,True
4396166,0.15093056673481148,5,2020-12-27,True
4396167,0.16636941346354875,5,2020-12-27,True
4396169,0.1267822866801955,5,2020-12-27,True
